,name_en,text,type
16,Erdtree's Favor +2,"A legendary talisman depicting a special blessing of the Erdtree.

Greatly raises maximum HP, stamina, and equip load.

It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself. Raises maximum HP, stamina and equip load",accessories
17,Radagon's Scarseal,"An eye engraved with an Elden Rune.
Said to be the seal of King Consort Radagon.

Raises vigor, endurance, strength, and dexterity, but also increases damage taken.

These seals represent the lifelong duty of those chosen by the gods. Raises attributes, but also increases damage taken",accessories
18,Radagon's Soreseal,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of King Consort Radagon.

Greatly raises vigor, endurance, strength, and dexterity, but also increases damage taken by a similar measure.

Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance. Greatly raises attributes, but also increases damage taken",accessories
19,Starscourge Heirloom,"A talisman engraved with a scene from a heroic tale.
Raises strength.

The mightiest hero of the demigods confronted the falling stars alone—and thus did he crush them, his conquest sealing the very fate of the stars. Raises strength",accessories
20,Prosthesis-Wearer Heirloom,"A talisman engraved with a scene from a heroic tale.
Raises dexterity.

Though born into the accursed rot, when the young girl encountered her mentor and his flowing blade, she gained wings of unparalleled strength. Raises dexterity",accessories
21,Stargazer Heirloom,"A talisman engraved with the legend of a queen.
Raises intelligence.

The young astrologer gazed at the night sky as she walked. She had always chased the stars every step of her journey. Then she met the full moon—and, in time, the astrologer became a queen. Raises intelligence",accessories
22,Two Fingers Heirloom,"A talisman engraved with the legend of the Two Fingers.
Raises faith.

Fingers cannot speak, yet these were eloquent.
Persistently did they wriggle, spelling out mysteries in the air.
Thus did we gain the words. The words of our faith. Raises faith",accessories
23,Silver Scarab,"A talisman facsimile of a scarab, the carrier of treasures and precious things.

This silver scarab enhances item discovery. Raises item discovery",accessories
24,Gold Scarab,"A talisman facsimile of a scarab, the carrier of treasures and precious things.

This golden scarab increases the amount of runes obtained from defeating enemies. Increases runes obtained from defeated enemies",accessories
25,Moon of Nokstella,"This legendary talisman is a treasure of Nokstella, the Eternal City.

Increases memory slots.

This talisman represents the lost black moon.
The moon of Nokstella was the guide of countless stars. Increases memory slots",accessories
26,Green Turtle Talisman,"A talisman in the shape of a green turtle.
Raises stamina recovery speed.

Turtles are known as a nutritious ingredient, symbolic of inexhaustible power.

However, those who hold turtles to be wise creatures consider the practice of eating their meat to be barbarous. Raises stamina recovery speed",accessories
27,Stalwart Horn Charm,"An accoutrement worn by the ancestral followers.
Raises robustness.
(Robustness governs resistance to blood loss and frost.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Raises robustness",accessories
28,Stalwart Horn Charm +1,"An accoutrement worn by the ancestral followers.
Greatly raises robustness.
(Robustness governs resistance to blood loss and frost.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Greatly raises robustness",accessories
29,Immunizing Horn Charm,"An accoutrement worn by the ancestral followers.
Raises immunity.
(Immunity governs resistance to poison and rot.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Raises immunity",accessories
30,Immunizing Horn Charm +1,"An accoutrement worn by the ancestral followers.
Greatly raises immunity.
(Immunity governs resistance to poison and rot.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Greatly raises immunity",accessories
31,Clarifying Horn Charm,"An accoutrement worn by the ancestral followers.
Raises focus.
(Focus governs resistance to sleep and madness.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Raises focus",accessories
32,Clarifying Horn Charm +1,"An accoutrement worn by the ancestral followers.
Greatly raises focus.
(Focus governs resistance to sleep and madness.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Greatly raises focus",accessories
33,Prince of Death's Pustule,"A fetid pustule taken from facial flesh.
Raises vitality.
(Vitality governs resistance to the effects of Death.)

It is said that this pustule came from the visage of the Prince of Death, he who used to be called Godwyn. As First Dead of the demigods, it's said he's buried deep under the capital, at the Erdtree's roots. Raises vitality",accessories
34,Prince of Death's Cyst,"A fetid, overgrown cyst taken from facial flesh.
Greatly raises vitality.
(Vitality governs resistance to the effects of Death.)

It is said that this cyst came from the corrupted visage of one unable to die a true Death. Indeed, it comes from the Prince of Death, scion of the golden bough and First of the Dead among the demigods. Greatly raises vitality",accessories
35,Mottled Necklace,"A vividly-colored accoutrement precious to the ancestral followers.

Raises immunity, robustness, and focus.

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Raises robustness, immunity, and focus",accessories
36,Mottled Necklace +1,"A vividly-colored accoutrement precious to the ancestral followers.

Greatly raises immunity, robustness, and focus.

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. Greatly raises robustness, immunity, and focus",accessories
37,Bull-Goat's Talisman,"A talisman depicting the horns of a bull-goat.
Raises poise.

Bull-goats are associated with the stout and mighty Tragoth, said to be unflinching in combat—now a silent comrade to those who fight. Raises poise",accessories
38,Marika's Scarseal,"An eye engraved with an Elden Rune.
Said to be the seal of Queen Marika.

Raises mind, intelligence, faith, and arcane, but also increases damage taken.

These seals represent the lifelong duty of those chosen by the gods. Raises attributes, but also increases damage taken",accessories
39,Marika's Soreseal,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of Queen Marika.

Greatly raises mind, intelligence, faith, and arcane, but also increases damage taken by a similar measure.

Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance. Greatly raises attributes, but also increases damage taken",accessories
40,Warrior Jar Shard,"Shard of a shattered warrior jar.

Boosts the attack power of skills.

Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of ancient royal warriors, perhaps. Boosts the attack power of skills",accessories
41,Shard of Alexander,"Shard of the late Alexander, a shattered warrior jar.

Greatly boosts the attack power of skills.

Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of a red-haired champion, it would seem. Greatly boosts the attack power of skills",accessories
42,Millicent's Prosthesis,"Part of the golden prosthesis used by Millicent.
The hand is locked into a fist that once raised a sword aloft.

Boosts dexterity and raises attack power with successive attacks.

The despair of sweet betrayal transformed Millicent from a mere bud into a magnificent flower. And one day, she will be reborn—as a beautiful scarlet valkyrie. Boosts dexterity, raises attack power with successive attacks",accessories
43,Magic Scorpion Charm,"A talisman carried by assassins who strike unseen.
Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic.

Raises magic attack power, but lowers damage negation. Raises magic attack, but lowers damage negation",accessories
44,Lightning Scorpion Charm,"A talisman carried by assassins who strike unseen.
Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that sparks with lightning.

Raises lightning attack power, but lowers damage negation. Raises lightning attack, but lowers damage negation",accessories
45,Fire Scorpion Charm,"A talisman carried by assassins who strike unseen.
Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that burns with fire.

Raises fire attack power, but lowers damage negation. Raises fire attack, but lowers damage negation",accessories
46,Sacred Scorpion Charm,"A talisman carried by assassins who strike unseen.
Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow.

Raises holy attack power, but lowers damage negation. Raises holy attack, but lowers damage negation",accessories
47,Red-Feathered Branchsword,"A talisman adorned with red feathers, once used in ancient death rituals.
Raises attack power when HP is low.

The heart sings when one draws close to death, and a glorious end awaits those who cling so tenaciously to life. Raises attack power when HP is low",accessories
48,Ritual Sword Talisman,"A talisman patterned after swords used in ritual combat held to honor the Erdtree.

Raises attack power when HP is at maximum.

The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land. Raises attack power when HP is at maximum",accessories
49,Spear Talisman,"A talisman depicting a spear and a soldier.
Enhances the counterattacks that are unique to thrusting weapons.

Spears are standard weapons for soldiers in the Lands Between. They made it possible to respond to a ferocious foe with an equally ferocious counterattack. Enhances counterattacks unique to thrusting weapons",accessories
50,Hammer Talisman,"A talisman depicting a hammer and a knight.
Enhances stamina-reducing attacks against a blocking opponent.

Hammers are highly effective against shield-bearing foes, so much so that they are known as ""knight-killers."" Enhances stamina-reducing attacks against blockers",accessories
51,Winged Sword Insignia,"A talisman depicting a raised prosthetic blade.
An honor bestowed upon the knights who fought alongside Malenia the Severed.

Raises attack power with successive attacks.

The wings symbolize Malenia and her undefeated prowess. Though she never knew relief from the accursed rot she was born into, her blade was forever beautiful—and relentless. Raises attack power with successive attacks",accessories
52,Rotten Winged Sword Insignia,"A talisman depicting a raised prosthetic blade.
An honor bestowed upon the valkyries who serve the Goddess of Rot.

Greatly raises attack power with successive attacks.

The four sisters were born in the Swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom. Greatly raises attack power with successive attacks",accessories
53,Dagger Talisman,"A talisman depicting a dagger and a surgeon.
Enhances critical hits.

The white-garbed field surgeons come to the aid of friend and foe alike by dealing a final deadly thrust to spare them from the prolonged agony of a mortal wound. A sense of mercy is a catalyst for bloodlust. Enhances critical hits",accessories
54,Arrow's Reach Talisman,"A talisman depicting three arrows.
Carried by hunters of beasts.

Increases the effective range of bows. Increases bow effective range",accessories
55,Blue Dancer Charm,"A cloth doll depicting a dancer garbed in blue.
An ancient heirloom of some sort.

Raises attack power with lower equipment load.

The dancer in blue represents a fairy, who in legend bestowed a flowing sword upon a blind swordsman. Blade in hand, the swordsman sealed away an ancient god—a god that was Rot itself. Raises attack power with lower equipment load",accessories
56,Twinblade Talisman,"A talisman depicting a twinblade and a confessor.
Enhances the final hit ending a chain of attacks.

The twinblade technique is a tradition of the confessors, who closely guard the secret of how they preserve the momentum of their attacks. Thus is the final strike of their onslaught all the more deadly. Enhances final hit of chain attacks",accessories
57,Axe Talisman,"A talisman depicting an axe and a warrior.
Enhances charge attacks.

The Lord who led the Long March bore an axe, and his loyal warriors honored him by wielding axes of their own, making them very effective at dealing decisive blows. Enhances charge attacks",accessories
58,Lance Talisman,"A talisman depicting a lance and a knight.
Enhances attacks while on horseback.

Knights on horseback are deadly foes. They see all below from their lofty position, meeting little meaningful resistance as they charge ahead. Enhances attacks on horseback",accessories
59,Arrow's Sting Talisman,"A talisman depicting three iron arrows.
Carried by soldiers long ago.

Raises attack power of arrows and bolts. Raises attack power of arrows and bolts",accessories
60,Lord of Blood's Exultation,"A talisman depicting the exultation of the Lord of Blood.

Raises attack power when blood loss occurs in the vicinity.

""Render up your offerings of blood to your Lord. Drench my consort's chamber. Slake his cocoon's thirst. His awakening shall herald the dawn of our dynasty."" Blood loss in vicinity increases attack power",accessories
61,Kindred of Rot's Exultation,"A talisman depicting the exultation of pests.

Raises attack power when poisoning or rot occurs in the vicinity.

""Rot for the scarlet goddess. O scarlet blossoms, flourish in distant lands, and return to us, the unwanted children."" Poisoning or rot in vicinity increases attack power",accessories
62,Claw Talisman,"A talisman depicting a claw and an assassin.
Enhances jump attacks.

The assassins of Ravenmount are killers by trade. They assail their victims while dressed as birds of prey. Enhances jump attacks",accessories
63,Roar Medallion,"A bronze medallion depicting a roaring giant.
Enhances roars and breath attacks.

In ancient times, the giants were mortal enemies of the Erdtree. Their bellowing roars desolated nature, triggered avalanches, and whipped up storms of flame. Enhances roars and breath attacks",accessories
64,Curved Sword Talisman,"A talisman depicting a curved sword and a swordsman.
Enhances guard counters.

It is said that a blind swordsman was the originator of this technique—the art of allowing one's opponent to strike so as to leave them vulnerable to a well-timed reply. Enhances guard counters",accessories
65,Companion Jar,"A talisman given by the jars to their friends.
Raises potency of thrown jars.

Though the jars are brought to life by human flesh and blood, they are all rather kindly folk. Perhaps they were made to be better than their innards. Raises potency of throwing pots",accessories
66,Perfumer's Talisman,"A talisman depicting a set of perfume bottles.
Raises potency of perfume items.

There are gardens known only to the perfumers. Whether hidden on the fringes of the highlands, or obscured by shadows inside caves, the flowers blossom in secret, waiting to impart their scent. Raises potency of perfume items",accessories
67,Graven-School Talisman,"A talisman depicting a school of graven mages, the nightmare of the academy.

Raises potency of sorceries.

The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry. Raises potency of sorceries",accessories
68,Graven-Mass Talisman,"A talisman depicting the first school of graven mages—a nightmare that would continue to haunt the academy.

Greatly raises potency of sorceries.

The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry. Greatly raises potency of sorceries",accessories
69,Faithful's Canvas Talisman,"A talisman bearing an icon that depicts a group of masked figures.
Raises potency of incantations.

The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion.

What is faith if not an affirmation? Raises potency of incantations",accessories
70,Flock's Canvas Talisman,"A talisman bearing an icon that depicts a mass of masked figures.
Greatly raises potency of incantations.

The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion.

What is faith if not an affirmation? Greatly raises potency of incantations",accessories
71,Old Lord's Talisman,"A legendary talisman depicting the ancient king whose seat lies at the heart of the storm beyond time.

Extends the duration of sorceries and incantations.

It is said that the ancient royal city of Farum Azula has been slowly crumbling since time immemorial. Extends spell effect duration",accessories
72,Radagon Icon,"A legendary talisman depicting the Elden Lord Radagon.
Shortens the casting time of sorceries and incantations.

As the husband of Rennala of Caria, the red-haired Radagon studied sorcery, and as the husband of Queen Marika, he studied incantations. Thus did the hero aspire to be complete. Shortens spell casting time",accessories
73,Primal Glintstone Blade,"An old glintstone blade that has been stained with blood.

Reduces FP consumption of sorceries and incantations at the cost of maximum HP.

The old sorcerers would slice open their hearts with these blades to imbue a primal glintstone with their soul, and thus did they die. Spells consume less FP, but maximum HP is reduced",accessories
74,Godfrey Icon,"A legendary talisman depicting the Elden Lord Godfrey.
Raises charge attack power of sorceries, incantations, and skills.

Godfrey was a ferocious warrior. When he vowed to become a lord, he took the Beast Regent Serosh upon on his back to suppress the ceaseless lust for battle that raged within. Enhances charged spells and skills",accessories
75,Dragoncrest Shield Talisman,"Wrought iron talisman depicting an ancient dragon.
Boosts physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Boosts physical damage negation",accessories
76,Dragoncrest Shield Talisman +1,"Wrought iron talisman depicting a duo of ancient dragons.
Greatly boosts physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Greatly boosts physical damage negation",accessories
77,Dragoncrest Shield Talisman +2,"Wrought iron talisman depicting a trio of ancient dragons.
Vastly boosts physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Vastly boosts physical damage negation",accessories
78,Dragoncrest Greatshield Talisman,"Legendary talisman of wrought iron depicting a massive ancient dragon.
Enormously boosts physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Enormously boosts physical damage negation",accessories
79,Spelldrake Talisman,"Talisman depicting a blue ancient dragon.
Boosts magic damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Boosts magical damage negation",accessories
80,Spelldrake Talisman +1,"Talisman depicting a duo of blue ancient dragons.
Greatly boosts magic damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Greatly boosts magical damage negation",accessories
81,Spelldrake Talisman +2,"Talisman depicting a trio of blue ancient dragons.
Vastly boosts magic damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Vastly boosts magical damage negation",accessories
82,Flamedrake Talisman,"Talisman depicting a red ancient dragon.
Boosts fire damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Boosts fire damage negation",accessories
83,Flamedrake Talisman +1,"Talisman depicting a duo of red ancient dragons.
Greatly boosts fire damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Greatly boosts fire damage negation",accessories
84,Flamedrake Talisman +2,"Talisman depicting a trio of red ancient dragons.
Vastly boosts fire damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Vastly boosts fire damage negation",accessories
85,Boltdrake Talisman,"Talisman depicting a yellow ancient dragon.
Boosts lightning damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Boosts lightning damage negation",accessories
86,Boltdrake Talisman +1,"Talisman depicting a duo of yellow ancient dragons.
Greatly boosts lightning damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Greatly boosts lightning damage negation",accessories
87,Boltdrake Talisman +2,"Talisman depicting a trio of yellow ancient dragons.
Vastly boosts lightning damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Vastly boosts lightning damage negation",accessories
88,Haligdrake Talisman,"Talisman depicting a golden ancient dragon.
Boosts holy damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Boosts holy damage negation",accessories
89,Haligdrake Talisman +1,"Talisman depicting a duo of golden ancient dragons.
Greatly boosts holy damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Greatly boosts holy damage negation",accessories
90,Haligdrake Talisman +2,"Talisman depicting a trio of golden ancient dragons.
Vastly boosts holy damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Vastly boosts holy damage negation",accessories
91,Pearldrake Talisman,"Talisman depicting a pearlescent ancient dragon.
Boosts non-physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Boosts non-physical damage negation",accessories
92,Pearldrake Talisman +1,"Talisman depicting a duo of pearlescent ancient dragons.
Greatly boosts non-physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Greatly boosts non-physical damage negation",accessories
93,Pearldrake Talisman +2,"Talisman depicting a trio of pearlescent ancient dragons.
Vastly boosts non-physical damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections. Vastly boosts non-physical damage negation",accessories
94,Crucible Scale Talisman,"A talisman fashioned from a scale that embodies the aspects of various creatures.
Said to have grown on the human body long ago.

Reduces damage taken from critical hits.

A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced. Reduces damage taken from critical hits",accessories
95,Crucible Feather Talisman,"A talisman fashioned from feathers that embody the aspects of various creatures.
Said to have grown on the human body long ago.

Improves the effectiveness of dodge rolls, but increases damage taken at all times.

A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced. Improves dodge rolling but increases damage taken",accessories
96,Blue-Feathered Branchsword,"A talisman adorned with blue feathers, once used in ancient death rituals.
Raises defense when HP is low.

The heart sings when one draws close to death, and thus does one cling so tenaciously to life—to render up a death worth offering. Raises defense when HP is low",accessories
97,Ritual Shield Talisman,"A talisman patterned after shields used in ritual combat held to honor the Erdtree.

Raises defense when HP is at maximum.

The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land. Raises defense when HP is at maximum",accessories
98,Greatshield Talisman,"Talisman depicting a knight holding a greatshield.
Boosts guarding ability.

The knights of Leyndell once modelled themselves after the Tree Sentinels. Their purpose is to protect that which deserves protection, and thus the shield always comes before the sword. Boosts guarding ability",accessories
99,Crucible Knot Talisman,"A talisman fashioned from a bony knot that embodies the aspects of various creatures.
Said to have grown on the human body long ago.

Reduces damage and impact of headshots taken.

A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced. Reduces damage and impact of headshots",accessories
100,Crimson Seed Talisman,"A crimson-colored talisman patterned after an Erdtree seed.
Boosts HP restoration from the Flask of Crimson Tears.

The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist. Boosts HP restoration from Flask of Crimson Tears",accessories
101,Cerulean Seed Talisman,"A cerulean-colored talisman patterned after an Erdtree seed.
Boosts FP restoration from the Flask of Cerulean Tears.

The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist. Boosts FP restoration from Flask of Cerulean Tears",accessories
102,Blessed Dew Talisman,"Talisman depicting a drop of the Erdtree's sap, a blessed boon.

Gradually restores HP.

It was once thought that the blessed sap of the Erdtree would drip from its boughs forever—but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith. Slowly restores HP",accessories
103,Taker's Cameo,"A talisman engraved with a stern likeness of Praetor Rykard, master of Volcano Manor.

Restores HP upon defeating enemies.

When Rykard turned to heresy, taking by force became the rule. The gods themselves were no different, after all. Restores HP upon defeating enemies",accessories
104,Godskin Swaddling Cloth,"Sacred cloth of the Godskin Apostles, made from supple skin sewn together.

Successive attacks restore HP.

The Gloam-Eyed Queen cradles newborn apostles swaddled in this cloth. Soon they will grow to become the death of the gods. Successive attacks restore HP",accessories
105,Assassin's Crimson Dagger,"An assassin's dagger, misshapen and stained in crimson.
Critical hits restore HP.

This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death. Critical hits restore HP",accessories
106,Assassin's Cerulean Dagger,"An assassin's dagger, misshapen and stained in cerulean.
Critical hits restore FP.

This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death. Critical hits restore FP",accessories
107,Crepus's Vial,"Small mysterious bottle with a dark mist sealed within.

Eliminates all sound made by the wearer during movement.

A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared nothing more than utter silence. Eliminates all sound made by the wearer during movement",accessories
108,Concealing Veil,"Talisman put together from dark cloth with a lustrous sheen.

Completely conceals the wearer's presence while crouching at a distance from foes.

Part of one of the concealing veils used by the assassins on the Night of Black Knives. Conceals wearer while crouching away from foes",accessories
109,Carian Filigreed Crest,"A talisman adorned with the royal crest.

Lowers FP consumed by skills.

An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala. Lowers FP consumed by skills",accessories
